text,label
ive quite itchy recently i rashy patches skin there also certain regions darker colour rest skin ive got firm lumps,6
i really high fever im trouble breathing im sweating lot feeling really cold tired my heart beating really fast i brownish sputum,8
standing walking long periods time causing lot pain legs it feels like cramp becomes worse longer i feet,1
ive experiencing severe itching chills vomiting high fever im also sweating excessively headache nausea muscle pain also causing discomfort,17
most time i feel fatigued i dont want eat anything i get high fever chills every night moreover i vomiting since yesterday,2
my neck tight muscles felt quite weak recently tough behalf maneuver around changing stiff thanks swollen joints walking additionally uncomfortable,10
along chest pain dizziness headache feels like narrow zone around head i lot trouble,13
ive experiencing frequent intense abrupt cravings urinate sometimes i get blood pee smells awful what i i believe i infection,18
the swelling legs causing difficulty fitting shoes i cant sprint stand long periods time i see swollen blood vessels,1
i experiencing diarrhea loose watery stools several times day i lost appetite feel nauseated time i starting get mild fever,2
along excessive appetite stiff neck depression impatience visual disturbance ive also suffering indigestion headaches blurred vision stomach problems,14
my eyes usually red inflamed i impression something clogging sinuses ive coughing lot gunk chest hurts i cant smell anything muscles aching,7
ive feeling really exhausted sick stomach ive really bad cough throat hurt lot ive experienced substantial sinus pressure congested nose im really unpleasant worn,7
i lost appetite noticed significant weight loss i abdominal pain especially area stomach intestines i concerned health,2
ive intense itching chills vomiting high fever im also sweating excessively headache nausea muscle pain also bothering,17
i heartburn indigestion i regularly throw everything i eat swallowing difficult since food gets stuck throat im experiencing pain upper abdomen,20
i rashes face i starting small sores around nose often yellow fluid comes sores the sores becoming extremely painful,4
ive feeling really weak muscles neck really stiff my joints swelling hard move around without feeling stiff walking really painful,10
the fatigue i feeling extreme makes difficult perform even basic tasks i feel vomitting developed rashes arms neck legs,5
i chronic dry cough i palpitations infections dont appear getting better i also painful throat issue although seem go away,23
my bowel motions giving lot problems right going difficult going hurts i when i go anus bleeds really uncomfortable im lot discomfort hurts extremely bad,9
ive sneezing nonstop i cant seem shake chill im feeling really weak tired cough wont go away my fever really high,7
i get frequent heartburn indigestion especially eating spicy foods fatty foods i get chest pain gets worse i lie bend i also often chest pain,20
ive breathing issues persistent cough exhaustion ive coughing lot thick mucoid sputum high fever im feeling drained tired deal,12
i experiencing chest pain dizziness headache feels like continual pressure forehead,13
back pain dry cough stiffness arms legs bothering ive problems staying balanced experience dizziness neck hurts,15
ive recently experiencing severe skin rash blackheads pimples packed pus everywhere additionally skin scurring lot,11
ive recently developed terrible rash skin its riddled blackheads pusfilled pimples my skin also scurrying everywhere,11
i go bathroom time urine output low often drops my stomach hurts lot cant seem able control urges pee,18
ive experiencing problems using restroom recently its quite difficult go hurts i ive also experiencing buttock soreness bloody stools my anus also quite itching sensitive,9
this morning i saw large rash body there lot pusfilled pimples blackheads face skin scurrying lot,11
back pain productive cough limb weakness bothering i balance dizzy concerns neck hurts,15
ive tough time constant cough difficulty breathing fatigue my fever high ive coughing lot thick mucoid sputum its rather draining exhausting im feeling quite sick moment,12
the itch nausea weariness bothering in addition i developed fever lost weight my pee black ive developed yellow rash additionally ive stomach ache,16
i experiencing muscle pain headache the muscle pain feels like constant ache worse i try use affected muscles there small red spots developing face neck arms,5
my skin peeling places especially knees elbows arms this peeling often accompanied painful burning sensation i also developing small dents nails really concerning,0
because dry flaky areas skin i prone infections my joints excruciating agony the skin knees elbows beginning flake,0
over last two days rash face gotten severe inflamed blisters begun bleed clear pus it really painful deal,4
im drenched sweat struggling breathe i dont feel well lot mucous throat my chest aches heart racing im coughing mucus crimson colour,8
i terrible pain abdominal part ive feeling really nauseated im also experiencing mild fever i really worried,2
i burning sensation upper abdomen ofetn night i heartburn indigestion often feel nauseous,22
strong itchiness chills nausea high fever part current condition besides headache ive perspiring lot ive bothered nausea well muscle ache,17
there silver like dusting skin especially lower back scalp this dusting made small scales flake easily i scratch,0
ive scratchy stomach throwing i also lost weight really exhausted i high fever yellow skin as well i stomach pain,16
i persistent cough feeling quite fatigued my fever roof im trouble breathing when i cough i also cough lot mucous,12
even i dont anything acidic stomach i constantly sour taste mouth i frequently lump throat hiccups,20
ive experiencing balance issues headache chest pain dizziness my ability concentrate focus also challenging,13
ive experiencing intense itchiness nausea exhaustion i also high fever lost weight both skin urine become yellow additionally stomach hurts,16
ive experiencing back pain dry cough muscle weakness ive experiencing neck pain feeling lightheaded trouble standing still,15
