[2024-10-01T20:57:13.122+0300] {triggerer_job_runner.py:181} INFO - Setting up TriggererHandlerWrapper with handler <FileTaskHandler (NOTSET)>
[2024-10-01T20:57:13.123+0300] {triggerer_job_runner.py:237} INFO - Setting up logging queue listener with handlers [<RedirectStdHandler <stdout> (NOTSET)>, <NonCachingFileHandler /home/sofia/Документы/Symptom2Disease/services/airflow/logs/triggerer.log (NOTSET)>, <TriggererHandlerWrapper (NOTSET)>]
[2024-10-01T20:57:13.134+0300] {triggerer_job_runner.py:338} INFO - Starting the triggerer
[2024-10-01T20:58:13.192+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T20:59:13.243+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:00:13.294+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:01:13.330+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:02:13.376+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:03:13.428+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:04:13.482+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:05:13.534+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:06:13.579+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:07:13.633+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:08:13.693+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:09:13.735+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:10:13.770+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:11:13.825+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:12:13.885+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:13:13.942+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:14:14.000+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:15:14.060+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:16:14.116+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-01T21:17:14.178+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
